Country_name,population,Overall,Tot_affected,Latest_date
Singapore,5535000,87.4,55395,2020-08-12
Ireland,6378000,84.0,26838,2020-08-12
United States of America,323947000,83.7,5191689,2020-08-12
Switzerland,8341600,83.1,37169,2020-08-12
Finland,5491817,82.9,7642,2020-08-12
Norway,5223256,82.9,9783,2020-08-12
Sweden,9894888,82.7,83455,2020-08-12
Canada,36155487,82.4,122689,2020-08-12
Netherlands,17019800,82.0,61689,2020-08-12
Austria,8725931,81.7,22439,2020-08-12
Germany,81770900,81.5,220859,2020-08-12
Australia,24117360,81.4,22405,2020-08-12
Qatar,2587564,81.2,113938,2020-08-12
Denmark,5717014,81.0,15423,2020-08-12
Belgium,11319511,80.7,75008,2020-08-12
France,66710000,80.4,244061,2020-08-12
United Kingdom of Great Britain and Northern Ireland,65110000,79.1,315564,2020-08-12
Israel,8527400,79.0,88151,2020-08-12
New Zealand,4697854,78.8,1579,2020-08-12
Portugal,10374822,77.8,53223,2020-08-12
Japan,126960000,76.5,51278,2020-08-12
United Arab Emirates,9856000,76.5,63212,2020-08-12
Italy,60665551,75.8,251713,2020-08-12
Poland,38437239,75.6,53676,2020-08-12
Chile,18191900,75.5,378168,2020-08-12
Spain,46438422,75.5,329784,2020-08-12
Kuwait,4183658,74.8,73785,2020-08-12
Malaysia,31405416,73.8,9114,2020-08-12
Korea (Republic of),50801405,73.6,14714,2020-08-12
Saudi Arabia,32248200,73.5,293037,2020-08-12
Greece,10858018,73.4,6177,2020-08-12
Czech Republic,10558524,73.1,18984,2020-08-12
Uruguay,3480222,72.8,1393,2020-08-12
Hungary,9823000,72.7,4768,2020-08-12
China,1377422166,71.0,89020,2020-08-12
Belarus,9498700,70.9,69102,2020-08-12
Argentina,43590400,70.8,260911,2020-08-12
Romania,19861408,70.2,65177,2020-08-12
Brazil,206135893,70.1,3109630,2020-08-12
Costa Rica,4890379,70.1,25057,2020-08-12
Turkey,78741053,69.8,244392,2020-08-12
Russian Federation,146599183,69.7,900745,2020-08-12
Colombia,48759958,69.4,410453,2020-08-12
Mexico,122273473,69.4,492522,2020-08-12
Panama,3814672,68.8,77377,2020-08-12
Oman,4420133,68.4,82299,2020-08-12
Slovakia,5426252,68.3,2690,2020-08-12
Kazakhstan,17753200,67.3,100855,2020-08-12
South Africa,55653654,67.3,568919,2020-08-12
Bahrain,1404900,66.6,45264,2020-08-12
Bulgaria,7153784,66.2,13893,2020-08-12
Thailand,65327652,65.1,3356,2020-08-12
Azerbaijan,9730500,64.8,33824,2020-08-12
Viet Nam,92700000,64.6,880,2020-08-12
Egypt,91290000,64.5,95963,2020-08-12
Dominican Republic,10075045,64.2,82224,2020-08-12
Botswana,2141206,63.8,1066,2020-08-12
Peru,31488700,63.3,489680,2020-08-12
Ghana,27670174,62.8,41572,2020-08-12
Morocco,33337529,62.8,36694,2020-08-12
Serbia,7076372,62.8,28751,2020-08-12
Indonesia,258705000,62.6,130718,2020-08-12
Ecuador,16545799,61.8,97110,2020-08-12
Jordan,9531712,61.0,1303,2020-08-12
Philippines,103279800,61.0,143749,2020-08-12
Sri Lanka,20966000,60.8,2881,2020-08-12
El Salvador,6520675,60.7,21644,2020-08-12
Guatemala,16176133,60.6,59089,2020-08-12
Tunisia,11154400,60.1,1780,2020-08-12
Algeria,40400000,59.8,36699,2020-08-12
Uzbekistan,31576400,59.0,32465,2020-08-12
India,1295210000,58.9,2329638,2020-08-12
Honduras,8576532,58.0,48403,2020-08-12
Paraguay,6854536,57.9,7519,2020-08-12
Bolivia (Plurinational State of),10985059,57.7,93328,2020-08-12
Ukraine,42692393,57.1,86504,2020-08-12
Myanmar,51419420,57.0,361,2020-08-12
Pakistan,194125062,56.8,285921,2020-08-12
Nepal,28431500,56.4,24432,2020-08-12
Mali,18135000,54.4,2582,2020-08-12
Senegal,14799859,54.3,11587,2020-08-12
Nicaragua,6262703,54.2,4115,2020-08-12
Bangladesh,161006790,53.2,266498,2020-08-12
C̫te d'Ivoire,22671331,52.3,16847,2020-08-12
Benin,10653654,51.0,2014,2020-08-12
Kenya,47251000,50.7,28104,2020-08-12
Burkina Faso,19034397,50.1,1213,2020-08-12
Cameroon,22709892,49.9,18263,2020-08-12
Niger,20715000,49.6,1158,2020-08-12
Cambodia,15626444,49.4,268,2020-08-12
Ethiopia,92206005,49.2,25118,2020-08-12
Lao People's Democratic Republic,6492400,49.1,20,2020-08-12
Tajikistan,8593600,49.0,7912,2020-08-12
Nigeria,186988000,48.4,47743,2020-08-12
Rwanda,11553188,48.2,2189,2020-08-12
"Tanzania, United Republic of",55155000,47.6,509,2020-08-12
Guinea,12947000,46.7,8116,2020-08-12
Uganda,33860700,46.2,1332,2020-08-12
Sudan,39598700,45.7,12033,2020-08-12
Angola,25868000,45.5,1762,2020-08-12
Zambia,15933883,44.4,8501,2020-08-12
Togo,7143000,44.0,1092,2020-08-12
Haiti,11078033,43.3,7743,2020-08-12
Malawi,16832910,42.5,4752,2020-08-12
Mozambique,26423700,41.4,2559,2020-08-12
Sierra Leone,7075641,39.0,1937,2020-08-12
Syrian Arab Republic,18564000,38.4,1327,2020-08-12
Madagascar,22434363,37.9,13397,2020-08-12
Chad,14497000,36.9,949,2020-08-12
Congo (Democratic Republic of the),85026000,35.7,9538,2020-08-12
Yemen,27478000,35.6,1841,2020-08-12
Burundi,10114505,34.3,408,2020-08-12
Venezuela (Bolivarian Republic of),31028700,31.2,27938,2020-08-12
